WeekBeginning,AveragePerDay
3/1/2016,235
10/1/2016,231
17/01/2016,233
24/01/2016,224
31/01/2016,224
7/2/2016,197
14/02/2016,191
21/02/2016,192
28/02/2016,218
6/3/2016,201
13/03/2016,188
20/03/2016,203
27/03/2016,184
3/4/2016,188
10/4/2016,214
17/04/2016,221
24/04/2016,216
1/5/2016,214
8/5/2016,197
15/05/2016,206
22/05/2016,218
29/05/2016,199
5/6/2016,176
12/6/2016,201
19/06/2016,196
26/06/2016,184
3/7/2016,174
10/7/2016,194
17/07/2016,188
24/07/2016,188
31/07/2016,184
7/8/2016,174
14/08/2016,179
21/08/2016,182
28/08/2016,181
4/9/2016,185
11/9/2016,164
18/09/2016,191
25/09/2016,189
2/10/2016,191
9/10/2016,194
16/10/2016,161
23/10/2016,172
30/10/2016,203
6/11/2016,175
13/11/2016,185
20/11/2016,189
4/12/2016,180
11/12/2016,176
18/12/2016,125
25/12/2016,31
1/1/2017,157
8/1/2017,153
15/01/2017,164
22/01/2017,159
29/01/2017,155
5/2/2017,145
12/2/2017,122
19/02/2017,129
26/02/2017,132
5/3/2017,134
12/3/2017,141
19/03/2017,143
26/03/2017,139
2/4/2017,140
9/4/2017,116
16/04/2017,114
23/04/2017,143
30/04/2017,146
7/5/2017,141
14/05/2017,142
21/05/2017,139
28/05/2017,106
4/6/2017,134
11/6/2017,142
18/06/2017,139
25/06/2017,147
2/7/2017,144
9/7/2017,145
16/07/2017,142
23/07/2017,145
30/07/2017,125
6/8/2017,122
13/08/2017,116
20/08/2017,115
27/08/2017,111
3/9/2017,138
10/9/2017,141
17/09/2017,126
24/09/2017,135
1/10/2017,140
8/10/2017,139
15/10/2017,141
22/10/2017,128
29/10/2017,139
5/11/2017,124
12/11/2017,124
19/11/2017,126
26/11/2017,135
3/12/2017,127
10/12/2017,125
17/12/2017,114
24/12/2017,25
